angle,x,y,z,xwf
0.0,17.08505301420998,-3.6796265795422665,0.0,-1.0
0.0,17.052123016135614,-3.7190734140982906,0.0,-1.0
0.0,17.022438465480043,-3.752883214371394,0.0,-1.0
0.0,16.989915465222246,-3.7923057356964165,0.0,-1.0
0.0,16.957598701249104,-3.8317119669566044,0.0,-1.0
0.0,16.92848996412629,-3.865503507154134,0.0,-1.0
0.0,16.896569874676413,-3.904884916410252,0.0,-1.0
0.0,16.867833550407855,-3.9386660440530195,0.0,-1.0
0.0,16.83630346411526,-3.9780222888547536,0.0,-1.0
0.0,16.80793343925455,-4.011792661031202,0.0,-1.0
0.0,16.77678677677318,-4.051123396925165,0.0,-1.0
0.0,16.74877702031539,-4.084882671827221,0.0,-1.0
0.0,16.71800729262895,-4.124187552387625,0.0,-1.0
0.0,16.690351854514613,-4.157935389305876,0.0,-1.0
0.0,16.659952661239682,-4.197214066155299,0.0,-1.0
0.0,16.63264567084952,-4.230950125465864,0.0,-1.0
0.0,16.60550601819392,-4.264683454428118,0.0,-1.0
0.0,16.575646363179864,-4.303926191428102,0.0,-1.0
0.0,16.548846609748843,-4.3376472379291915,0.0,-1.0
0.0,16.51934198701071,-4.3768628974050205,0.0,-1.0
0.0,16.492876452304422,-4.410571325088788,0.0,-1.0
0.0,16.466571484293016,-4.4442766101501725,0.0,-1.0
0.0,16.43758383398147,-4.483455026122155,0.0,-1.0
0.0,16.411604809807123,-4.517147193855081,0.0,-1.0
0.0,16.382957196603783,-4.556297650159751,0.0,-1.0
0.0,16.357298616634388,-4.589976367167646,0.0,-1.0
0.0,16.33179404500651,-4.623651537790491,0.0,-1.0
0.0,16.303641567553367,-4.662763438836715,0.0,-1.0
0.0,16.278449425252745,-4.69642466596589,0.0,-1.0
0.0,16.253407473231224,-4.730082109245264,0.0,-1.0
0.0,16.228514486325228,-4.763735691903872,0.0,-1.0
0.0,16.20100004117336,-4.802797679436978,0.0,-1.0
0.0,16.176409093812538,-4.836436671592779,0.0,-1.0
0.0,16.15196338485461,-4.870071569912665,0.0,-1.0
0.0,16.127661717924738,-4.903702299354362,0.0,-1.0
0.0,16.10076356823772,-4.942712997761212,0.0,-1.0
0.0,16.07675379977464,-4.976328496619758,0.0,-1.0
0.0,16.052884434071085,-5.009939597272056,0.0,-1.0
0.0,16.029154302292735,-5.043546226272494,0.0,-1.0
0.0,16.005562242126977,-5.07714831061706,0.0,-1.0
0.0,15.979403098440809,-5.116095022200762,0.0,-1.0
0.0,15.95609064018587,-5.149681088971903,0.0,-1.0
0.0,15.93291271765533,-5.183262386244891,0.0,-1.0
0.0,15.909868194550551,-5.216838842425952,0.0,-1.0
0.0,15.886955940726072,-5.2504103863133675,0.0,-1.0
0.0,15.86417483211901,-5.283976947086543,0.0,-1.0
0.0,15.838859272601464,-5.322845731479041,0.0,-1.0
0.0,15.816343502630437,-5.356395345952279,0.0,-1.0
0.0,15.793955457981223,-5.389939757043646,0.0,-1.0
0.0,15.77169403882613,-5.4234788950899375,0.0,-1.0
0.0,15.749558151062963,-5.4570126907530625,0.0,-1.0
0.0,15.72754670624641,-5.490541075008225,0.0,-1.0
0.0,15.705658621519756,-5.5240639791318955,0.0,-1.0
0.0,15.683892819546708,-5.55758133468952,0.0,-1.0
0.0,15.662248228444305,-5.59109307352322,0.0,-1.0
0.0,15.640723781715575,-5.624599127739152,0.0,-1.0
0.0,15.619318418182981,-5.658099429694674,0.0,-1.0
0.0,15.598031081922523,-5.691593911985578,0.0,-1.0
0.0,15.57686072219723,-5.725082507432822,0.0,-1.0
0.0,15.555806293393076,-5.758565149069247,0.0,-1.0
0.0,15.534866754952995,-5.792041770126149,0.0,-1.0
0.0,15.51404107131351,-5.825512304019682,0.0,-1.0
0.0,15.49332821184013,-5.858976684336855,0.0,-1.0
0.0,15.472727150764545,-5.892434844821764,0.0,-1.0
